21h|Public Administration Abstracts
edssci|SciELO
edssrf|STAT!Ref
edsssb|Books24x7
edsswe|SwePub
edstdx|TDX
edsulo|??????????????? ?????????? ?????? - University Library Online
edsups|University Press Scholarship Online
edsvox|ScholarVox
edswah|Arts & Humanities Citation Index
edswbo|World Book
edswsc|Science Citation Index
edswss|Social Sciences Citation Index
eft|Education Full Text (H.W. Wilson)
egi|Essay and General Literature Index (H.W. Wilson)
egr|Essay and General Literature Retrospective (H.W. Wilson)
eih|Environment Complete
eir|Education Index Retrospective: 1929-1983 (H.W. Wilson)
eoh|EconLit with Full Text
eric|ERIC
f3h|Film & Television Literature Index with Full Text
fcs|FRANCIS
fjh|The New Republic Archive
flh|Family & Society Studies Worldwide
fmh|Gender Studies Database
fph|Bibliography of Native North Americans
fqh|Left Index
fxh|Middle Eastern & Central Asian Studies
gft|General Science Full Text (H.W. Wilson)
h5b|Gateway to North America: People, Places, and Organizations of 19th-Century New York
h6a|Arte Público Hispanic Historical Collection: Series 1
h7h|American Theological Library Association (ATLA) Historical Monographs Collection: Series 1
h7i|African American Historical Serials Collection
h8h|American Theological Library Association (ATLA) Historical Monographs Collection: Series 2
h9h|American Antiquarian Society (AAS) Historical Periodicals Collection: Series 1
h9i|American Antiquarian Society (AAS) Historical Periodicals Collection: Series 2
h9j|American Antiquarian Society (AAS) Historical Periodicals Collection: Series 3
h9k|American Antiquarian Society (AAS) Historical Periodicals Collection: Series 4
h9m|American Antiquarian Society (AAS) Historical Periodicals Collection: Series 5
hev|European Views of the Americas: 1493 to 1750
hft|Humanities Full Text (H.W. Wilson)
hsr|Humanities & Social Sciences Index Retrospective: 1907-1984 (H.W. Wilson)
htm|History of Science, Technology & Medicine
iap|Index to 19th-Century American Art Periodicals
ibh|International Bibliography of Theatre & Dance with Full Text
ipm|Index to Printed Music
jph|Index to Jewish Periodicals
llf|Library Literature & Information Science Full Text (H.W. Wilson)
loh|Mental Measurements Yearbook
lpb|Index to Legal Periodicals and Books (H.W. Wilson)
lpr|Index to Legal Periodicals Retrospective: 1908-1981 (H.W. Wilson)
lxh|Library, Information Science & Technology Abstracts
mah|Music Index
mth|Military & Government Collection
mzh|MLA International Bibliography
n0h|The Nation Archive Premium Edition
n2h|New Scientist Archive
nch|The National Review Archive
ncj|National Criminal Justice Reference Service Abstracts
nlabk|Audiobook Collection (EBSCOhost)
nlebk|eBook Collection (EBSCOhost)
oah|Old Testament Abstracts
phl|Philosopher's Index
pix|Play Index (H.W. Wilson)
puh|Garden, Landscape & Horticulture Index
qth|LGBT Life with Full Text
rfh|ATLA Religion Database with ATLASerials
rgm|Readers' Guide Full Text Mega (H.W. Wilson)
rgr|Readers' Guide Retrospective: 1890-1982 (H.W. Wilson)
rih|RILM Abstracts of Music Literature
rph|RIPM - Retrospective Index to Music Periodicals
rsm|RISM Series A/II: Music Manuscripts after 1600
rvh|New Testament Abstracts
sbh|American Bibliography of Slavic and East European Studies
sih|SocINDEX with Full Text
ssf|Social Sciences Full Text (H.W. Wilson)
ssx|Short Story Index (H.W. Wilson)
sur|Sustainability Reference Center
swh|Social Work Abstracts
sxr|Short Story Index Retrospective: 1915-1983 (H.W. Wilson)
tfh|Professional Development Collection
ulh|MAS Ultra - School Edition
vah|ATLA Catholic Periodical and Literature Index
wpr|World Politics Review
